university_code,university_name,found_url,status,num_records,data_year,note
BVH,Học viện Công nghệ Bưu chính Viễn thông,https://diemthi.tuyensinh247.com/thong-tin-hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-bac-BVH.html,success,39,2026,Dữ liệu được trích xuất từ trang thông tin tuyển sinh 2026 của Học viện Công nghệ Bưu chính Viễn thông.
CTS,Trường Đại học Cần Thơ,https://tuyensinh.ctu.edu.vn/,needs_deeper_crawl,4,2026,Trang chủ chỉ liệt kê một vài ngành tiêu biểu. Cần truy cập vào link danh mục ngành chi tiết để lấy đầy đủ 127 mã ngành theo thông báo của trường.
DBH,Trường Đại học Bách khoa - Đại học Quốc gia Thành phố Hồ Chí Minh,https://hcmut.edu.vn/404.html,needs_deeper_crawl,0,2025,"Trang URL cung cấp là trang 404, không chứa thông tin ngành. Cần truy cập vào cổng thông tin tuyển sinh chính thức của trường."
DBS,Trường Đại học Kinh tế Thành phố Hồ Chí Minh,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kinh-te-tphcm-KSA.html,success,82,2026,Dữ liệu được trích xuất từ đề án tuyển sinh năm 2026 của trường Đại học Kinh tế TP.HCM (UEH). Các chỉ tiêu và mã ngành được liệt kê đầy đủ theo thông tin công bố.
DPX,Trường Đại học Sư phạm Thành phố Hồ Chí Minh,https://tuyensinh.hcmue.edu.vn/?site=183,needs_deeper_crawl,0,2026,"Trang chủ cung cấp các đường dẫn chi tiết đến từng mục thông tin tuyển sinh năm 2026. Cần truy cập vào link 'Chỉ tiêu tuyển sinh, tổ hợp xét tuyển' để lấy danh sách ngành đầy đủ."
DTH,Trường Đại học Thăng Long,https://thi.tuyensinh247.com/thong-tin-tuyen-sinh-truong-dai-hoc-thang-long-2026-c24a88172.html,success,25,2026,"Dữ liệu năm 2026. Học phí là mức dự kiến. Các ngành có nhiều phương thức xét tuyển, ở đây ưu tiên liệt kê tổ hợp xét tuyển của phương thức 1 (diem_thi_thpt)."
HBT,Trường Đại học Công nghệ Sài Gòn,https://stu.edu.vn/vi/1/20444/tuyen-sinh-dai-hoc-2025.html?pIndex=2&per-page=10,success,18,2025,Danh sách ngành bao gồm các ngành đang đào tạo và các ngành dự kiến mở năm 2025 theo thông tin từ trang tuyển sinh của trường.
HHA,Trường Đại học Hàng hải Việt Nam,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-hang-hai-HHA.html,success,52,2026,"Dữ liệu được trích xuất từ đề án tuyển sinh năm 2026 của Trường Đại học Hàng hải Việt Nam. Các phương thức xét tuyển khác (Học bạ, ĐGNL, ĐGTD, Kết hợp) cũng được áp dụng cho các ngành tương ứng."
MSH,Trường Đại học Mỹ thuật Thành phố Hồ Chí Minh,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-my-thuat-tphcm-MTS.html,success,6,2026,Dữ liệu được trích xuất từ đề án tuyển sinh năm 2026 của trường. Các ngành xét tuyển kết hợp môn Ngữ văn và thi năng khiếu. Tổ hợp môn không được liệt kê cụ thể theo mã (như A00) mà theo phương thức t
CTS,Trường Đại học Cần Thơ,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-can-tho-TCT.html,success,127,2026,Dữ liệu được trích xuất từ đề án tuyển sinh năm 2026 của Trường Đại học Cần Thơ. Các ngành đào tạo được liệt kê theo phương thức xét tuyển điểm thi THPT.
DBH,Trường Đại học Bách khoa - Đại học Quốc gia Thành phố Hồ Chí Minh,https://hcmut.edu.vn/404.html,needs_deeper_crawl,0,2025,"Trang URL cung cấp là trang 404, không chứa thông tin ngành. Cần truy cập vào cổng thông tin tuyển sinh chính thức của trường."
DPX,Trường Đại học Sư phạm Thành phố Hồ Chí Minh,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-su-pham-tphcm-SPS.html,success,45,2026,Danh sách ngành đào tạo năm 2026 tại cơ sở TPHCM. Các phân hiệu Long An và Gia Lai cũng có đào tạo một số ngành tương tự.
MSH,Trường Đại học Mỹ thuật Thành phố Hồ Chí Minh,https://hcmufa.edu.vn/,success,6,2026,"Danh sách ngành được trích xuất từ thông tin đào tạo đại học chính quy năm 2026 của trường. Các thông tin về mã ngành, chỉ tiêu và học phí không được công bố chi tiết trên trang chủ."
DBH,Trường Đại học Bách khoa - Đại học Quốc gia Thành phố Hồ Chí Minh,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-hcm-QSB.html,success,57,2026,Dữ liệu được trích xuất từ đề án tuyển sinh năm 2026 của Trường Đại học Bách khoa - ĐHQG TPHCM. Học phí được lấy theo dự kiến năm 2026-2027.
MSH,Trường Đại học Mỹ thuật Thành phố Hồ Chí Minh,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-my-thuat-tphcm-MTS.html,success,6,2026,Dữ liệu được trích xuất từ đề án tuyển sinh năm 2026 của trường. Các ngành xét tuyển kết hợp môn Ngữ văn và thi năng khiếu. Tổ hợp môn không được liệt kê cụ thể theo mã (như A00) mà theo phương thức t
QSB,Trường Đại học Bách khoa - Đại học Quốc gia Thành phố Hồ Chí Minh,https://diemthi.tuyensinh247.com/thong-tin-dai-hoc-bach-khoa-hcm-QSB.html,success,59,2026,Dữ liệu được trích xuất từ trang thông tin tuyển sinh 2026 của trường Đại học Bách khoa - ĐHQG TP.HCM. Các chương trình chuyển tiếp quốc tế có chỉ tiêu 0 do tính chất đặc thù của chương trình.
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia Thành phố Hồ Chí Minh,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghe-thong-tin-dhqg-tphcm-QSC.html,success,20,2026,Dữ liệu được trích xuất từ đề án tuyển sinh năm 2026 của trường. Học phí được tính theo đơn vị triệu đồng/năm cho năm học 2026-2027.
QSK,Trường Đại học Kinh tế - Luật - Đại học Quốc gia Thành phố Hồ Chí Minh,https://diemthi.tuyensinh247.com/,needs_deeper_crawl,0,2026,"Trang hiện tại là trang tổng hợp công cụ tra cứu, không chứa danh sách ngành chi tiết của riêng Trường Đại học Kinh tế - Luật. Cần truy cập vào các link gợi ý để lấy dữ liệu cụ thể."
QSX,Trường Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Thành phố Hồ Chí Minh,https://diemthi.tuyensinh247.com/thong-tin-dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-tphcm-QSX.html,success,51,2026,Dữ liệu được trích xuất từ trang thông tin tuyển sinh năm 2026 của trường. Các phương thức xét tuyển được gộp chung là 'ket_hop' theo nội dung trang.
QHQ,Trường Quốc tế - Đại học Quốc gia Hà Nội,https://www.is.vnu.edu.vn/,success,17,2026,Danh sách ngành được trích xuất từ thông tin tuyển sinh đại học chính quy năm 2026 của Trường Quốc tế - ĐHQGHN. Các chỉ tiêu và học phí không được công bố chi tiết trên trang chủ.
DKH,Trường Đại học Dược Hà Nội,https://tuyensinh.hup.edu.vn/nhomtin?id=1007,success,5,2025,Danh sách ngành được trích xuất từ các bài viết giới thiệu ngành trên trang web của trường. Thông tin chi tiết về mã ngành và chỉ tiêu cần tham khảo thêm tại Đề án tuyển sinh.
KMA,Học viện Kỹ thuật Mật mã,https://tuyensinh.actvn.edu.vn/thong-bao-tuyen-sinh-dai-hoc-chinh-quy-nam-2026/,success,4,2026,Dữ liệu được trích xuất từ thông báo tuyển sinh năm 2026. Học viện có 2 cơ sở đào tạo với mã ngành và chỉ tiêu riêng biệt.
KCN,Trường Đại học Khoa học và Công nghệ Hà Nội,https://tuyensinh.usth.edu.vn/tuyen-sinh/dai-hoc-dang-ky/,success,20,2026,Danh sách ngành được trích xuất từ thông báo tuyển sinh năm 2026. Tổ hợp môn xét tuyển chi tiết nằm trong Phụ lục 1 đính kèm trên website trường.
SGD,Trường Đại học Sài Gòn,https://diemthi.tuyensinh247.com/thong-tin-dai-hoc-sai-gon-SGD.html,success,48,2026,Dữ liệu được trích xuất từ trang thông tin tuyển sinh 2026 của Đại học Sài Gòn. Chỉ tiêu hiện tại đang để 0 do trang nguồn chưa cập nhật số liệu cụ thể.
SPS,Trường Đại học Sư phạm Thành phố Hồ Chí Minh,https://tuyensinh.hcmue.edu.vn/index.php?option=com_content&view=article&id=27812%3Ach-tieu-tuyn-sinh-to-hp-xet-tuyen-d-kin-i-vi-tng-nganh&catid=4069%3Atin-tc&Itemid=9677&lang=vi&site=183,success,46,2026,Danh sách bao gồm các ngành đào tạo tại trụ sở chính. Dữ liệu năm 2026 theo thông báo dự kiến của trường.
IUH,Trường Đại học Công nghiệp Thành phố Hồ Chí Minh,https://thi.tuyensinh247.com/thong-tin-tuyen-sinh-dai-hoc-cong-nghiep-tphcm-2026-c24a88478.html,success,37,2026,"Danh sách ngành dựa trên thông tin tuyển sinh năm 2026 của trường Đại học Công nghiệp TPHCM. Các mã ngành có hậu tố C, Q là các chương trình đặc thù (tăng cường tiếng Anh, tích hợp chứng chỉ quốc tế)."
DCT,Trường Đại học Công nghiệp Thực phẩm Thành phố Hồ Chí Minh,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-thuong-tphcm-DCT.html,success,39,2026,Dữ liệu học phí được tính toán dựa trên tổng học phí toàn khóa chia cho số năm đào tạo (4 năm). Một số ngành không có thông tin học phí cụ thể hoặc chỉ tiêu trong trang.
UNETI,Trường Đại học Kinh tế - Kỹ thuật Công nghiệp,https://thi.tuyensinh247.com/thong-tin-tuyen-sinh-dai-hoc-kinh-te-ky-thuat-cong-nghiep-2026-c24a89255.html,success,49,2026,Danh sách ngành đào tạo năm 2026 tại cơ sở Hà Nội và Ninh Bình. Tổ hợp xét tuyển được phân theo nhóm (1-4) chi tiết trong nội dung trang.
DDL,Trường Đại học Điện lực,https://epu.edu.vn/chi-tiet-tin/truong-dai-hoc-dien-luc-thong-tin-tuyen-sinh-nam-2026-16231.html,partial,9,2026,Trang web chỉ liệt kê một số ngành tiêu biểu có chỉ tiêu lớn và các ngành mới. Danh sách đầy đủ nằm trong file PDF đính kèm tại trang chủ tuyển sinh.
AEP,Học viện Chính sách và Phát triển,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-chinh-sach-va-phat-trien-HCP.html,success,19,2026,Dữ liệu trích xuất từ đề án tuyển sinh năm 2026 của Học viện Chính sách và Phát triển. Học phí được tính theo triệu đồng/năm học.
HMT,Trường Đại học Y tế Công cộng,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-y-te-cong-cong-YTC.html,success,6,2026,Dữ liệu tuyển sinh năm 2026 được trích xuất từ đề án tuyển sinh của Trường Đại học Y tế Công cộng. Học phí được tính theo triệu đồng/năm dựa trên dự kiến năm học 2026-2027.
YDH,Trường Đại học Y Dược - Đại học Huế,https://tuyensinh.hueuni.edu.vn/,needs_deeper_crawl,0,2026,"Trang chủ là cổng thông tin chung của Đại học Huế, không liệt kê chi tiết danh sách ngành của Trường Đại học Y Dược. Cần truy cập vào link đơn vị thành viên hoặc thông báo tuyển sinh chi tiết để lấy d"
KTH,Trường Đại học Kinh tế - Đại học Huế,https://tuyensinh.hce.edu.vn/,success,21,2026,Danh sách ngành được trích xuất từ mục 'CÁC NGÀNH HỌC' trên trang chủ. Mã ngành và học phí không được cung cấp công khai trên trang này.
DHF,Trường Đại học Ngoại ngữ - Đại học Huế,https://diemthi.tuyensinh247.com/thong-tin-dai-hoc-ngoai-ngu-dai-hoc-hue-DHF.html,success,13,2026,"Dữ liệu được trích xuất từ trang thông tin tuyển sinh 2026 của Tuyensinh247. Phương thức xét tuyển được ghi nhận là 'Kết Hợp' (bao gồm CCQT, ĐT THPT, Học Bạ)."
DHS,Trường Đại học Sư phạm - Đại học Huế,https://tuyensinh.dhsphue.edu.vn/,success,21,2026,Dữ liệu được trích xuất từ thông báo tuyển sinh năm 2026 trên website của trường. Các ngành sư phạm được hưởng chính sách theo Nghị định 116/2020/NĐ-CP.
DHA,Trường Đại học Luật - Đại học Huế,https://tuyensinh.hul.edu.vn/News/Detail/thong-tin-tuyen-sinh-dai-hoc-he-chinh-quy-nam-2026-cua-truong-dai-hoc-luat-dai-hoc-hue_20260331161546,partial,1,2026,"Trang thông tin chính thức năm 2026 chỉ đề cập ví dụ ngành Luật (7380101) và các phương thức xét tuyển chung, không liệt kê bảng danh sách đầy đủ các ngành đào tạo khác của trường."
YQD,Học viện Quân y,https://hocvienquany.vn/,needs_deeper_crawl,0,2026,"Trang chủ Học viện Quân y hiện tại chỉ cung cấp các thông tin chung về đào tạo và tin tức tuyển sinh, chưa liệt kê danh sách chi tiết các ngành đào tạo đại học chính quy. Cần truy cập vào các đường dẫ"
ANH,Học viện An ninh Nhân dân,https://hvannd.edu.vn/thong-tin-tuyen-sinh-nam-2026-dao-tao-dai-hoc-chinh-quy-he-dan-su,success,2,2026,Thông tin tuyển sinh hệ dân sự năm 2026 của Học viện An ninh nhân dân đã được trích xuất đầy đủ từ trang chủ. Học phí hiện chưa được công bố cụ thể.
CSH,Học viện Cảnh sát Nhân dân,https://www.hvcsnd.edu.vn/vai-net-ve-cong-tac-giao-duc-dai-hoc-he-chinh-quy-7066,success,10,2026,Danh sách ngành được trích xuất từ trang giới thiệu đào tạo của Học viện. Các ngành tuyển sinh chính thức hàng năm sẽ tuân theo thông báo tuyển sinh chi tiết của Bộ Công an và Học viện.
RMIT,Trường Đại học RMIT Việt Nam,https://tuoitre.vn/rmit-viet-nam-khoi-dong-tuyen-sinh-2026-nhung-diem-moi-dang-chu-y-2025120112354805.htm,success,17,2026,Dữ liệu học phí được trích xuất từ thông tin dự kiến năm 2026 của RMIT Việt Nam. RMIT sử dụng phương thức xét tuyển riêng (học bạ/bằng cấp quốc tế) thay vì xét điểm thi THPT truyền thống.
VLU,Trường Đại học Văn Lang,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-van-lang-DVL.html,success,54,2026,Danh sách ngành được trích xuất từ đề án tuyển sinh năm 2026 của Trường Đại học Văn Lang. Các ngành có môn năng khiếu hoặc xét tuyển kết hợp có thể có tổ hợp đặc thù.
OU,Trường Đại học Mở Thành phố Hồ Chí Minh,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-mo-tphcm-MBS.html,success,64,2026,Danh sách ngành được trích xuất từ đề án tuyển sinh năm 2026 của Trường Đại học Mở TP.HCM. Các chỉ tiêu và học phí không được công bố chi tiết trong trang web nên để null.
MHN,Trường Đại học Mở Hà Nội,https://tuyensinh.hou.edu.vn/,success,22,2026,Danh sách ngành được trích xuất từ mục giới thiệu ngành đào tạo chính quy năm 2026 trên website của trường.
TBD,Trường Đại học Thái Bình Dương,https://tuyensinh.tbd.edu.vn/,success,27,2026,Học phí được tính dựa trên tổng học phí toàn khóa chia cho số tín chỉ quy định trong nội dung trang. Các ngành có chương trình Chất lượng cao hoặc Tài năng sẽ có mức học phí cao hơn (182-256 triệu/khó
DUE,Trường Đại học Kinh tế - Đại học Đà Nẵng,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kinh-te-dai-hoc-da-nang-DDQ.html,success,37,2026,Dữ liệu được trích xuất từ đề án tuyển sinh năm 2026 của trường. Các ngành có nhiều chuyên ngành được liệt kê theo tên ngành chính. Phương thức xét tuyển ưu tiên hiển thị là điểm thi THPT.
